input2,input4,input6,input7,input8,input9,input11,input13,input16,input17
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
73923.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.028782692,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,148919.7656,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.049165225,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.186692076,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,1.050519531,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.871849544,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,22.01115526,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,32.07050642,0.001998815
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001580851
58938.04688,0.033527882,114908.2031,0.0453179,0.315147727,0.911285156,0.938237466,24.91408436,42.82900502,0.001998815
73923.04688,0.028782692,148919.7656,0.049165225,0.186692076,1.050519531,0.871849544,22.01115526,32.07050642,0.001580851
58938.04688,0.028782692,148919.7656,0.049165225,0.186692076,1.050519531,0.871849544,22.01115526,32.07050642,0.001580851
73923.04688,0.028782692,148919.7656,0.049165225,0.186692076,1.050519531,0.871849544,22.01115526,32.07050642,0.001580851
