batch_seed,fed_batch,batch_med,conversion_main,res_vol,dia1,dia2,flush2
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.028782692167968756,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.049165225,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.18669207573046878,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,1.050519531,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.8718495444140625,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,22.011155257424782,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,32.070506422737296,0.001998815
0.033527882050781256,0.045317900390625006,0.3151477273242188,0.9112851562500001,0.9382374662109375,24.914084361177913,42.82900502403519,0.001580851
