DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
2.693052352,65.79400898,164502075.9,192011006,2.72477578,62.27408101
3.051045918,74.52036574,131535515.9,193659692.2,2.379760022,67.70440627
2.659318769,64.9569943,152988426.5,188814607.7,2.699947033,63.84781996
3.107420488,75.89650868,127570657.8,193943935.6,2.334558899,68.54936345
3.053715928,74.58582781,135152339.1,193381845.2,2.37935056,68.12800837
3.051055066,74.52059067,132244504.2,194103122.2,2.385747029,67.34392704
3.05104749,74.52040499,130660463.6,193863778.3,2.380911665,67.49859389
3.051046482,74.52038046,131519094.1,193617506.5,2.379257539,67.74056039
3.05104736,74.52040207,131755624.9,190372874,2.342647731,70.69454603
3.051043078,74.52035363,131416413.3,193456385.3,2.377289306,67.87753084
3.051056534,74.52062804,131658047.4,188699384.3,2.323465282,72.31304934
3.051052773,74.52043682,131368778.5,193476941,2.377452008,67.85808255
3.051046087,74.52036616,131535451.3,193659679.4,2.379759659,67.70441799
2.83209007,69.17361224,148734293,224755557.9,2.969756951,45.03973186
3.333992621,81.48075564,192772585.5,283151371.1,3.18472809,42.96519643
2.81738393,68.81473034,150366398.9,224585032.1,2.985519482,44.90435795
3.138151054,76.64277058,124019303.6,230204338,2.708287046,47.06247788
2.832078874,69.17333668,148880623.7,224765106.2,2.970096487,45.03789083
2.486940729,60.74542192,165356044.5,216502285.6,3.293941933,43.15061481
2.866237992,70.00686082,146623917.4,225384948.4,2.938997372,45.27897175
2.833677425,69.21252588,150068253.8,224705778.3,2.969403343,45.10691121
2.832078567,69.17340717,152414250.2,226858325.8,3.000849129,44.2386553
2.832078017,69.1733146,148495008.5,222315860,2.939513487,46.06952608
2.832079584,69.17335492,149041634.6,224730995.1,2.969909399,45.05459446
2.832089786,69.17360293,147267361.2,207024357.4,2.750255202,53.7843726
2.832070523,69.17313134,148781775.9,224772710.9,2.970056131,45.0330392
2.832091621,69.17364653,150082356.1,183558556.2,2.466610082,72.57846733
2.832078713,69.17333248,148795701.6,224798657.9,2.970385715,45.02266067
2.962875249,72.36391113,139855888.9,185226709.5,2.363204292,73.58970077
3.546333072,86.68039633,180367894.1,237351373.6,2.531344364,68.92985053
2.964022216,72.4293464,217434005.9,233985392.3,3.040222997,61.08356541
3.560362199,87.02629813,180722617.5,237429342.3,2.522536671,69.14842626
3.781622851,92.47793861,171347734.7,240708055.2,2.39493828,70.50672933
3.525961844,86.18303352,182451813.2,237211659.5,2.547003804,68.71115792
3.558304983,86.97603644,178145209.1,237803476.9,2.524691722,68.74347927
3.560299145,87.02482684,174721537.9,234039219.5,2.48264432,71.6970211
3.560372281,87.02654441,181971903.8,236200507.2,2.511976495,70.15401314
3.560362364,87.02630348,180724648.7,237401690.8,2.522269211,69.16995832
3.560357704,87.02618878,179912060.5,238780415,2.534787619,68.09189374
3.560348079,87.02597883,180018773.5,236687041.1,2.514501127,69.70792083
3.560353132,87.02607768,180713675.9,264906090.8,2.790498902,52.84779257
3.560307549,87.02499764,179859977.6,236673750,2.514218223,69.7128034
3.560363109,87.02639378,180727334.1,237429554.3,2.522543496,69.14843567
1.589860586,38.83890128,278548381,191983920.4,4.907446994,43.88707904
1.796013616,43.88086117,341107150,241570693.1,5.444871238,39.56937738
1.445238451,35.30637884,287309891.1,191402467.8,5.409280859,40.53334199
3.287017561,80.29375752,139567768.3,201171576.6,2.298237078,72.88824242
1.58986176,38.83894387,278548217.2,191984033.9,4.907445428,43.88703129
1.748234314,42.70757275,281236938.7,194832216.8,4.52572109,46.1700825
1.594232646,38.94573801,278232581,192011712.1,4.893786102,43.97858554
1.588407696,38.80329685,277119401.7,192188897.2,4.912747393,43.66578126
1.589857286,38.83882126,278204895.2,191753859.2,4.901551536,44.03982972
1.589862283,38.83895611,281905317.3,191486526.8,4.905190312,44.33010085
1.589862679,38.83896636,279584290.4,191653472.3,4.902881032,44.14798895
1.589868064,38.83905157,278938428.9,192690806.7,4.923862668,43.40777237
1.589865367,38.83903197,276478332.1,192928233.1,4.922745498,43.18160269
1.589872883,38.83918842,278147981,191578685.4,4.897531721,44.16227995
3.370360436,82.33010054,132572280.8,200148234,2.222397942,75.40576728
3.775838601,92.36872196,196507387.4,251936944,2.52904293,68.55659929
1.832165233,44.76528938,357270796.6,242950201.2,5.399559527,39.95989323
3.796155035,92.87233173,198200803.7,252011607.1,2.518010151,68.91289239
3.737905024,91.4218533,197401732.7,250883706.8,2.545900623,68.65260941
3.793990233,92.81852782,198376515.6,252003464.4,2.519561261,68.88457406
3.799624094,92.95737712,200540661.2,251636944.4,2.514798983,69.31339076
3.796165253,92.87257315,199110920.2,252633733.8,2.524671549,68.49058311
3.7961549,92.87232959,192395609.8,253343901.1,2.523959408,67.80783651
3.796156039,92.87231432,195658783.3,254039268.4,2.533824794,67.41120741
3.796115121,92.87135271,195393992.4,253584312.7,2.529406242,67.71939063
3.796134472,92.87196668,198524868.4,251381236.7,2.512606128,69.38010166
3.796137737,92.87190873,201666192.9,250640387.3,2.509202569,70.0164411
3.796161418,92.87254923,198581897.2,254193097.9,2.538368719,67.38244279
3.796154451,92.87231677,198200736.4,252011606.4,2.518010459,68.9128804
3.386118901,82.7744243,199110331.4,272375380.7,3.032835573,50.52800178
2.804413142,68.51371143,163359652.8,218664342.5,2.944918295,51.69223458
3.200309363,78.22140011,207845335,269467260.6,3.18850138,49.16715684
1.352926206,33.05680241,308841462,241726624.2,7.134818457,29.21496811
3.386113316,82.77428645,199111841.1,272366107.7,3.032747305,50.5319716
3.456049672,84.48881957,195775809.3,273670198,2.980541965,50.9318375
