input2,input6,input7,input8,input11,input13,input14
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
73923.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,148919.7656,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.049165225,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.186692076,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.871849544,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,22.01115526,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.003765234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
58938.04688,114908.2031,0.0453179,0.315147727,0.938237466,24.91408436,0.002640234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
58938.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,114908.2031,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.0453179,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.315147727,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.938237466,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,24.91408436,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.002640234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
73923.04688,148919.7656,0.049165225,0.186692076,0.871849544,22.01115526,0.003765234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
113883.0469,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,98879.76563,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.026260225,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.309395982,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.525006524,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,38.37180044,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.001965234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
98898.04688,64868.20313,0.0224129,0.192443821,0.591394446,39.7680123,0.004440234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
98898.04688,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,64868.20313,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.0224129,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.192443821,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.591394446,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,39.7680123,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.004440234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
113883.0469,98879.76563,0.026260225,0.309395982,0.525006524,38.37180044,0.001965234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
53943.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,123899.7656,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.060617725,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.248044029,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.698428034,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,31.71555439,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.004665234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
38958.04688,89888.20313,0.0567704,0.131091868,0.417972936,33.49416933,0.001740234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
38958.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,89888.20313,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.0567704,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.131091868,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.417972936,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,33.49416933,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.001740234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
53943.04688,123899.7656,0.060617725,0.248044029,0.698428034,31.71555439,0.004665234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
93903.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,73859.76563,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.037712725,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.125340123,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.351585014,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,43.86536751,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.002865234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
78918.04688,139928.2031,0.0338654,0.253795774,0.764815956,45.54777147,0.003540234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
78918.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,139928.2031,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.0338654,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.253795774,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.764815956,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,45.54777147,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.003540234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
93903.04688,73859.76563,0.037712725,0.125340123,0.351585014,43.86536751,0.002865234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
63933.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,61349.76563,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.031986475,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.217368052,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.785138789,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,35.25546679,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.003315234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
48948.04688,127418.2031,0.06249665,0.100415892,0.331262181,29.65456865,0.004890234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
48948.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,127418.2031,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.06249665,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.100415892,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.331262181,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,29.65456865,0.003315234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.004890234
63933.04688,61349.76563,0.031986475,0.217368052,0.785138789,35.25546679,0.003315234
