h2_ratio,Tmeoh,recycle_ratio,n_trays1,feed_loc1
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
3.084609375,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,287.0859375,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.959873047,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,44.58023437,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,262.1953125,0.982861328,56.60367187,0.919682018
2.170546875,262.1953125,0.982861328,56.60367187,0.690515351
2.170546875,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,262.1953125,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.982861328,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,56.60367187,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.690515351
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.084609375,287.0859375,0.959873047,44.58023437,0.919682018
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
2.184609375,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,233.0859375,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.987373047,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,61.68023438,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,208.1953125,0.955361328,73.70367188,0.765296053
3.070546875,208.1953125,0.955361328,73.70367188,0.844901316
3.070546875,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,208.1953125,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.955361328,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,73.70367188,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.844901316
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
2.184609375,233.0859375,0.987373047,61.68023438,0.765296053
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
2.634609375,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,206.0859375,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.973623047,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,53.13023438,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,289.1953125,0.941611328,65.15367188,0.842489035
3.520546875,289.1953125,0.941611328,65.15367188,0.767708333
3.520546875,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,289.1953125,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.941611328,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,65.15367188,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.767708333
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.634609375,206.0859375,0.973623047,53.13023438,0.842489035
2.620546875,235.1953125,0.969111328,48.05367188,0.922094298
3.534609375,235.1953125,0.969111328,48.05367188,0.922094298
