samples,DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
72,3.259133786,79.64598422,186007246.0,219269330.1,2.568824087,61.96082488
73,3.053903557,74.60610825,154793941.1,192791186.4,2.398719885,65.40883201
74,3.311432183,80.92603175,185730535.0,219740774.7,2.532856466,62.68945764
75,2.031286435,49.63031097,264582602.8,205498038.9,4.04395844,45.66746732
76,2.033743905,49.69050827,266923230.2,205443276.5,4.042830852,45.79684301
77,3.617362677,88.42811834,191869053.7,229828698.9,2.422398318,62.90940528
78,3.404095391,83.19283581,177250923.9,220709008.5,2.463625996,63.67681296
79,3.257824511,79.613877,185623272.4,219455113.4,2.571355863,61.82668645
80,3.25916573,79.64675438,186889246.2,220008387.3,2.577776331,61.57779135
81,3.259137772,79.64607181,182531440.9,220866296.0,2.581485114,61.03109728
82,3.259138718,79.64609,186040212.5,219571603.8,2.572081817,61.79714835
83,3.259141904,79.64617372,186380693.6,216663071.2,2.541518474,63.42474056
84,3.259144151,79.64613779,185985641.7,219264095.9,2.568733118,61.96341049
85,3.259140465,79.64614004,186013987.3,194768106.7,2.307796187,61.96207871
86,3.259144024,79.64622626,186013980.0,222633273.2,2.604663172,61.96215673
87,3.25914422,79.64623107,186013967.2,219103871.1,2.567061507,61.9621598
88,3.259138288,79.64608281,187763021.8,211373552.8,2.486897633,66.63373169
89,3.259129552,79.64587754,186026042.9,219264457.7,2.568799036,61.96384992
90,2.650613907,64.76314615,300375293.4,199351286.3,3.073623064,52.00640477
91,2.476425649,60.4986055,257578243.7,175151599.5,2.880027963,55.43762774
92,2.912539925,71.15391028,204113100.1,176444513.0,2.389327776,62.6662536
93,3.026711185,73.94403677,191523318.4,176624382.1,2.284298256,64.63113299
94,1.427527133,34.8750243,264972722.6,156371982.6,4.560517986,41.09902151
95,2.315834807,56.57478579,271111328.7,174478114.3,3.093478139,52.58699145
96,2.429537696,59.3534529,260630837.7,174708517.7,2.934401974,54.74752281
97,2.428548241,59.3292158,259710736.7,174330966.1,2.928654275,54.9394352
98,2.428559381,59.32946867,264671175.0,173645730.5,2.927174145,55.49166391
99,2.428555491,59.32937425,260409960.7,174663084.3,2.934568245,54.7482714
100,2.428555204,59.32936777,259752191.8,175146994.9,2.940382652,54.43382007
101,2.428555124,59.32944019,260208605.9,174832145.3,2.936647685,54.63873732
102,2.428560479,59.32949402,260192195.9,195539654.5,3.232678229,54.62546932
103,2.428555098,59.32936507,260192357.9,171487432.5,2.88879946,54.6253241
104,2.428554898,59.32936032,260192283.3,175006680.0,2.939115953,54.62531566
105,2.428582844,59.33004495,256072131.8,178499822.9,2.982105502,52.37028398
106,2.428553865,59.32933503,260191950.2,174852913.8,2.936918174,54.62539853
107,2.428554854,59.32935924,260192289.6,174853095.4,2.936920143,54.62531506
108,3.330770921,81.34345128,113938158.9,120476030.7,1.395439,76.27085631
109,3.927769184,96.20889137,197724531.5,161669160.1,1.634496233,65.63229926
110,3.315177538,80.96371173,113365340.3,120385161.9,1.400346197,75.97690099
111,3.286503209,80.26262469,116832165.5,120654507.3,1.419711936,75.18839227
112,3.131389282,76.49056597,133477170.2,121154029.4,1.517255728,71.88710976
113,3.046498513,74.40478239,129204297.0,118102060.8,1.519029283,72.88914952
114,3.291632691,80.38888683,114915594.4,120581398.7,1.414353642,75.30830569
115,3.323539474,81.16620363,115971784.1,119897593.4,1.394927639,76.80765253
116,3.330740649,81.34273964,110390743.2,118571369.7,1.371252245,78.20699096
117,3.330744061,81.34278148,114894169.4,119135507.5,1.382646239,77.76405067
118,3.330759284,81.34310589,113104815.5,118377390.5,1.37254573,78.53459457
119,3.330743177,81.34275898,113936379.8,120581924.5,1.396552363,76.15768241
120,3.330770505,81.343429,113854319.7,120471511.8,1.395289407,76.27223168
121,3.330754329,81.34306246,113939460.2,102253100.9,1.205478379,76.27122207
122,3.330754339,81.34303318,113937752.1,118712359.3,1.377059646,76.27123886
123,3.330754294,81.34303208,113937752.1,119620880.3,1.386530754,76.27123742
124,3.330752304,81.34298141,114067757.4,122898656.9,1.420860736,73.78226596
125,3.330712168,81.34199546,113544718.6,120174254.5,1.391835871,76.57576116
126,2.810801842,68.66197405,147983516.6,95269743.98,1.391603598,70.91475261
127,3.597174173,87.9682052,201293355.0,124513654.4,1.430110766,66.18170663
128,3.57922076,87.53270058,203675366.4,124568533.7,1.440530866,65.89023217
129,3.633828802,88.86063064,203720598.9,124738818.4,1.420560903,66.73643003
130,3.924082855,96.11530331,195420133.1,129697902.5,1.350739173,67.59292666
131,3.644748854,89.14179678,199662309.2,124860929.3,1.412926849,66.70561727
132,3.652459588,89.33076889,197918763.8,125053691.0,1.409829603,66.63283284
133,3.644544689,89.13679447,201715080.8,126671559.6,1.432553367,65.29152164
134,3.644474158,89.13506512,196688875.1,125927743.8,1.419869762,65.73650759
135,3.644454357,89.13451203,197180895.7,126936200.9,1.430036077,64.94882742
136,3.644442,89.13427508,199628379.9,124126471.1,1.406010335,67.31392885
