formulation,productivity,capex,opex,batches,batch time,cycle time,cost
2.497253945,0.079572832,68594930.22,262050.454,163,456271.5626,172619.7656,3293.215118
2.497253945,0.079572832,69132101,243098.4613,203,422303.9937,138608.2031,3055.043468
2.497253945,0.076274362,67458475.41,256620.0552,163,456946.4345,172619.7656,3364.433982
2.497253945,0.087824544,71845926.68,276341.6784,163,455432.1105,172619.7656,3146.519949
2.497253945,0.079569459,68594869.27,262046.1086,163,456272.2455,172619.7656,3293.3001
2.497253945,0.079569459,68602679.01,262061.0003,163,456279.5811,172619.7656,3293.487253
2.497253945,0.079569459,70102730.18,265339.2701,163,457498.5002,172619.7656,3334.687354
2.497253945,0.079569459,68594869.3,262046.1114,163,456272.2455,172619.7656,3293.300135
2.497253945,0.079569459,68895417.31,263795.9641,163,457968.8046,172619.7656,3315.291647
2.497253945,0.079569459,68549636.66,261660.3743,163,452598.9299,172619.7656,3288.452331
2.497253945,0.079569459,68594869.08,262046.0915,163,456272.2455,172619.7656,3293.299884
1.793055588,0.063855987,71601150.72,276573.6347,163,456272.2455,172619.7656,4331.209147
2.192219612,0.079569459,72075600.78,278991.4963,163,456272.2455,172619.7656,3506.263564
2.497253945,0.079569459,68594869.39,262046.119,163,456272.2455,172619.7656,3293.30023
2.497253945,0.079569459,68594869.37,262046.1175,163,456272.2455,172619.7656,3293.300212
2.976190271,0.047423704,51681117.74,174861.8276,212,422918.9483,132691.209,3687.224168
2.976190271,0.047423704,51716846.11,176504.0914,212,466970.8304,132691.209,3721.853765
2.976190271,0.047423704,51588762.49,179241.2144,199,437902.0024,141183.0469,3779.570114
2.976190271,0.050303574,52803535.4,177867.7473,216,420868.6628,130630.6711,3535.88687
2.976190271,0.04716037,51563350.67,174488.8225,212,423095.1181,132892.1821,3699.903629
2.976190271,0.04716037,51595092.5,174532.6125,212,423119.9224,132892.1831,3700.832164
2.976190271,0.047423704,51724152.14,177372.2409,212,456889.2087,132691.209,3740.160002
2.976190271,0.052772608,53769451.48,180739.1037,218,419292.5348,129043.1434,3424.865862
2.976190271,0.052772608,54210843.07,181336.257,218,419936.9856,129043.1444,3436.181454
2.976190271,0.047662461,51785244.23,175184.5248,212,422738.5657,132510.9123,3675.524132
2.976190271,0.047662461,51773836.32,174953.8628,213,422691.472,132463.8187,3670.684641
2.976190271,0.047662461,51169678.32,170951.7241,219,418718.4604,128490.807,3586.71628
2.976190271,0.047662461,51785243.99,175184.5045,212,422738.5667,132510.9134,3675.523705
2.976190271,0.047662461,51673444.21,173676.8455,215,421155.3249,130927.6715,3643.891704
2.976190271,0.047662461,51786902.43,171179.8427,223,405157.6097,126198.0469,3591.502406
2.976190271,0.047662461,51785244.1,175184.4971,212,422738.5667,132510.9134,3675.523549
2.016726455,0.036022513,53743997.38,182392.5124,212,422738.5667,132510.9134,5063.292299
3.54024977,0.047662461,48985653.92,165264.0681,212,422738.5667,132510.9134,3467.384297
2.976190271,0.047662461,51781354.33,175181.1386,212,422738.5667,132510.9134,3675.453084
2.456009292,0.046601771,54693642.12,190991.7233,199,448511.788,141183.0469,4098.379092
2.456009292,0.046601771,54938191.12,185490.3992,223,477580.2865,126198.0469,3980.329413
2.456009292,0.044507081,53789247.91,189028.4438,199,493122.7053,141183.0469,4247.154409
2.456009292,0.046884171,54834725.91,193117.784,199,492514.5124,141183.0469,4119.040141
2.456009292,0.046884171,54818960.32,193087.8095,199,492490.8739,141183.0469,4118.400809
2.456009296,0.046600732,54679402.32,190116.0268,199,458614.6316,141183.0469,4079.678952
2.456009292,0.042534897,52883283.81,185620.4389,199,493698.1399,141183.0469,4363.956462
2.456009292,0.042534897,52454168.92,184999.4852,199,493074.4892,141183.0469,4349.357774
2.456009292,0.046600732,54708131.43,192615.5555,199,492563.9537,141183.0469,4133.316063
2.456009292,0.046600732,54708280.19,192640.3697,199,492587.1187,141183.0469,4133.848548
2.456009284,0.046600732,55354604.45,195019.0088,199,494092.5301,141183.0469,4184.891505
2.456009292,0.046600732,54708131.4,192615.5535,199,492563.9539,141183.0469,4133.31602
2.456009292,0.046600732,54822178.53,193276.4686,199,493045.0189,141183.0469,4147.498525
2.456009292,0.046600732,54785198.94,193677.4133,199,504025.9119,141183.0469,4156.102354
2.456009292,0.046600732,54708131.46,192615.5582,199,492563.9539,141183.0469,4133.316122
3.54024977,0.061658818,53089991.82,186437.3363,199,492563.9539,141183.0469,3023.692989
2.016726455,0.046600732,58644643.98,208392.4584,199,492563.9539,141183.0469,4471.870891
2.456009292,0.046600732,54708131.65,192615.5722,199,492563.9539,141183.0469,4133.316422
2.456009292,0.046600732,54708131.78,192615.5823,199,492563.9539,141183.0469,4133.31664
2.994847763,0.059250569,54129692.08,172726.4745,248,384049.5965,113588.2031,2915.18675
2.994847763,0.059250569,54137802.54,172527.3332,248,378421.8227,113588.2031,2911.825746
2.994847763,0.059250569,54161670.05,173840.3068,248,399031.7903,113588.2031,2933.985426
2.994847763,0.058727701,53949984.6,172018.3656,248,384102.5312,113588.2031,2929.083947
2.994847763,0.04963717,50441306.77,159483.4921,248,385354.8211,113588.2031,3212.985163
2.994847763,0.059239223,54141107.8,172722.9337,248,384050.9675,113588.2031,2915.685358
2.994847763,0.059239223,53593348.36,188453.1244,191,418027.8332,147599.7656,3181.222108
2.994847764,0.059250569,54145427.86,172746.1564,248,384072.9254,113588.2031,2915.51893
2.994847763,0.092742494,65613394.02,217985.1863,248,382090.1532,113588.2031,2350.434812
2.994847763,0.059529846,54245294.73,173116.2514,248,384015.7267,113588.2031,2908.058104
2.994847764,0.059250569,54099359.25,172631.8698,248,383992.1778,113588.2031,2913.59006
2.994847743,0.059250569,57879709.33,182737.5944,248,388877.3461,113588.2031,3084.149174
2.994847763,0.059250569,54141369.87,172735.5089,248,384049.5965,113588.2031,2915.339227
