h2_ratio,Pmeoh,Tmeoh,reactor_mode,recycle_ratio,Vmeoh
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
3.084609375,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,5325.195313,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,287.0859375,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.173828125,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.959873047,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,15.27485593
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,7737.304688,262.1953125,0.294921875,0.982861328,12.66409284
2.170546875,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,7737.304688,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,262.1953125,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.294921875,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.982861328,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,12.66409284
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.084609375,5325.195313,287.0859375,0.173828125,0.959873047,15.27485593
3.070546875,10987.30469,208.1953125,0.794921875,0.955361328,17.50724756
2.184609375,10987.30469,208.1953125,0.794921875,0.955361328,17.50724756
3.070546875,8575.195313,208.1953125,0.794921875,0.955361328,17.50724756
3.070546875,10987.30469,233.0859375,0.794921875,0.955361328,17.50724756
